Content,Video title,Video publish time,Duration,Average view duration,Stayed to watch (%),Average percentage viewed (%),New viewers,Regular viewers,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
RiRat_zq6ow,Puneet Superstar X IIT Baba,"Mar 5, 2025",12,0:00:12,71.69,100.79,,,11922,39.4793,2,3615,2.07
qJHV8FOafBM,Cringe Of Ruchika Malhan 😝,"Jun 27, 2025",58,0:00:33,71.64,58.18,,,3570,21.8537,0,6567,6.03
RrvcgeBwkcA,1 Crore Ka Makeup 🤣,"Feb 21, 2026",34,0:00:27,71.6,81.86,,,38146,158.7692,229,7814,2.93
A_lDcSthfIE,Biggest Chapri Is Back 🤣,"Oct 18, 2025",31,0:00:23,71.51,76.57,,,1181435,4508.6277,6810,1685774,8.86
vsgKwyWnI24,Kajal Sejal Roast 😂,"May 13, 2025",54,0:00:18,71.43,34.45,,,4268,15.6204,7,1791,4.52
CVQI6BjpfCc,Rajat Dalal Masterplan 🤯,"Sep 9, 2025",42,0:00:28,71.22,67.31,,,4052,19.2146,2,2192,1.32
vvYrERFVkdc,sejal exx dark queen #shorts,"Dec 1, 2024",28,0:00:18,71.08,67.8,,,3007,15.6031,1,2812,8.29
0Qh5Cg09d6A,Saurav joshi Cringe roast 🤮 #roast #shorts,"Apr 26, 2024",43,0:00:32,71.05,75.3,,,27,0.2428,0,159,7.55
KNieH66XYn4,Girls Makeup Transition 🤣,"Oct 4, 2025",33,0:00:26,70.96,80,,,30369,128.5186,58,13607,9.85
qjOo3P7CwGs,Gadhe Se Shadi Karle 🤣,"Dec 1, 2025",29,0:00:25,70.74,88.66,,,2502,8.9789,5,2561,2.3
126u5gBU34A,Best Board Drawing 🤣,"Oct 3, 2025",39,0:00:31,70.74,80.48,,,14907,71.7304,51,9561,3.23
B3AOCe5fTMg,dancing car story 😂 #shorts,"Dec 28, 2024",45,0:00:29,70.66,66.51,,,7603,63.0788,2,865,1.27
JpADEJRDx9M,R.I.P BTS fans🤣🤣 #roast,"Jul 14, 2024",21,0:00:17,70.44,84.46,,,3322,15.5702,1,1642,6.58
PxncLX6E7jQ,Inspiring Urfi Javed 💀,"Jun 14, 2025",60,0:00:28,70.42,47.81,,,79,0.4102,0,27,11.11
-8ImlGbMoXQ,saurav joshi vlog secret 😂 #shorts,"Oct 6, 2024",17,0:00:10,70.36,64.6,,,3785,11.5326,9,862,1.86
2Ix8gwp3mZA,triggered insaan roast ruchika rathore #shorts,"Dec 21, 2024",44,0:00:20,70.24,46.28,,,499,2.7907,0,876,2.97
5hkwSsvIcTM,Black Lover 🤣,"Feb 18, 2026",33,0:00:28,70.13,85.83,,,23098,98.5243,106,7508,1.72
BKTtjss6ceE,the audiance 💀 #shorts,"Jan 3, 2025",24,0:00:08,70,35.42,,,7,0.0165,0,29,10.34
53Dog-VGjqs,Desi Korean 😂 (Sasta Korean),"May 12, 2026",35,0:00:26,69.84,76.3,,,8179,33.0395,56,5005,6.29
iw1MtsITyJs,Joshi Family Exposed 😂,"May 25, 2025",47,0:00:29,69.78,63.24,,,8545,42.3183,12,2249,2.85
hmdYneZZwJw,kajal sejal dark #shorts,"Nov 18, 2024",25,0:00:19,69.62,77.85,,,58161,310.0682,114,56640,9.15
dTtBQeU7BJQ,Best Boys Makeup Transition 🤣,"May 9, 2026",34,0:00:26,69.6,79.18,,,30978,133.1808,21,5177,3.3
hhjK9JalxcQ,munawar trolled 😂 #shorts,"Oct 5, 2024",13,0:00:09,69.53,76.91,,,1381,3.8245,1,825,1.82
HIdH3pKq_mY,Makeup Ke Power 🤣,"Dec 7, 2025",29,0:00:23,69.39,79.33,,,26945,98.664,31,2985,3.02
MmHpppzCYeY,Best Wedding Talent 🤣,"Jun 6, 2026",39,0:00:25,69.32,64.33,,,3364,13.6234,28,1218,10.43
pLfkiSZSGt0,Muskan Karia Roast,"Apr 30, 2025",55,0:00:24,69.19,44.07,,,10461,47.3452,7,25315,7.63
TSKUBmR-Csw,hardik pandya divorce reaction😱 #viral #reaction #shorts,"May 26, 2024",34,0:00:18,69.13,55.01,,,723,3.7465,1,972,2.47
s8cbwlv402M,Kajal Ka Sach,"Feb 27, 2025",25,0:00:15,68.98,61.68,,,1136,4.3756,1,1033,3.19
13mtkMTABFI,Payal Gaming-Roast,"Apr 17, 2025",50,0:00:29,68.98,58.28,,,3750,19.3254,6,1745,4.3
uWl_ABqAg74,When News Becomes Entertainment,"May 10, 2025",43,0:00:18,68.96,43.64,,,2186,7.6323,0,1177,1.02
m4qmQLLnwYc,Power Of Makeup 🤣,"Oct 6, 2025",38,0:00:29,68.85,78.85,,,40208,183.2624,100,9442,8.04
_HBFje0Uf94,Pawan Singh Rise and Fall 🤡,"Sep 7, 2025",38,0:00:27,68.73,73.49,,,10913,47.2844,17,3143,1.43
cIsqCK7O2zc,Pakistani Chapri 🤣,"Nov 1, 2025",33,0:00:26,68.64,79.27,,,6106,23.6603,9,5489,3.02
dw9pBvV7Hzo,End Tak Dekhna 🤣,"Dec 27, 2025",34,0:00:28,68.59,83.08,,,33060,144.9476,61,10183,1.32
UvwtUgTnTN8,elvish yadav Diss-track 😡 #shorts #elvishyadav,"Apr 1, 2024",34,0:00:17,68.57,50.85,,,193,0.9269,0,553,7.23
NlsusbKsu68,The Power Of Makeup 🤣,"Oct 9, 2025",34,0:00:26,68.43,79.34,,,50169,199.3252,98,7654,4.26
A2srESg05EU,kajal sejal dark-9 #shorts,"Dec 18, 2024",33,0:00:17,68.42,53.12,,,4106,19.7545,4,1492,6.9
fg3Jn0odGgg,samay roast harsh #shorts,"Dec 9, 2024",29,0:00:18,68.33,63.4,,,5578,28.4722,3,786,0.76
FN5qL8VIMxM,Mani meraj Exposed 🤯,"Sep 16, 2025",36,0:00:27,68.3,76.2,,,9269,39.2752,6,3344,2.3
tIuz1tW4U_0,kajal sejal dark-17 #shorts,"Jan 7, 2025",29,0:00:19,68.29,67.97,,,28,0.1533,0,98,13.27
s3Lp_Qh_P7k,Best Funny Answer 🤣,"Oct 12, 2025",35,0:00:26,68.14,76.79,,,28825,133.5669,63,8404,1.94
PQXejN1N4B4,New Singer From Pakistan 😡,"May 15, 2025",54,0:00:30,68.09,55.6,,,2535,13.1476,1,1319,0.99
fVxRsBfns0s,sejal x kajal #shorts,"Nov 18, 2024",34,0:00:23,67.72,68.95,,,10212,66.4529,12,2771,8.77
g1c_0M_zZjk,Chappri Makeup 🤣,"Feb 10, 2026",29,0:00:24,67.5,85.51,,,36780,140.0202,191,7367,8
RNv-PgSuY28,shilajit ❌ redbull ✅-2 #shorts,"Dec 10, 2024",48,0:00:22,67.5,47.46,,,688,4.2868,0,932,0.32
TNUSFmSSJc4,Chacha Ke Karname 🤣,"Dec 5, 2025",27,0:00:16,67.46,62.79,,,9948,27.7871,4,2353,1.83
1eZjhRPULQg,Beti Bachawo Beti Padawo,"Mar 3, 2025",36,0:00:14,67.4,39.96,,,722,2.8146,2,962,2.18
HexB_FwtsP4,Latter Par Chai Gira Diya 🤣,"Dec 30, 2025",29,0:00:25,67.17,88.78,,,73624,277.679,116,14034,8.48
HGC3BtMOclc,sejal roast video 😂 #shorts,"Nov 16, 2024",33,0:00:14,67.13,44.18,,,780,3.1585,1,1085,3.32
6J9UuiDTNAU,Sasta Makeup 🤣,"Feb 7, 2026",26,0:00:21,67.09,84.04,,,185761,596.1235,2235,8120,7.01
B_KBF0-mZJQ,funny reel reaction 😂 #funnycringe #funny #shorts,"May 18, 2024",12,0:00:12,66.85,104.27,,,11922,41.3328,16,937,1.81
uocQ3CwsnLE,saurav joshi vlog secret 😂 part 2 #shorts,"Oct 10, 2024",23,0:00:13,66.77,60.45,,,636,2.4564,1,647,5.56
KgoCrzcNJvk,Hilarious Roast of Sejal Exx #comedy #shorts,"Oct 11, 2024",29,0:00:24,66.71,85.33,,,11965,81.9973,20,1695,2.24
bJr5tcpVJU0,Rohit Khatri Wife 😂roast,"Aug 11, 2025",62,0:00:40,66.23,65.45,,,776,4.5925,1,2162,8.28
ojU8LtWb2jc,chapri dream😆 #shorts,"Nov 26, 2024",19,0:00:12,66.17,64.59,,,1760,5.9457,1,953,0.84
LzGS0TCRWaU,Tera Naam Kya Hai 😂,"Aug 3, 2025",42,0:00:22,66.01,53.53,,,3111,11.7901,5,2414,1.12
-4Osjkrggu4,costume cutter-2 #shorts,"Dec 11, 2024",27,0:00:19,65.98,71.27,,,10566,56.2982,0,2704,1.11
VikZpsIGdGE,kajal sejal dark-13 #shorts,"Dec 26, 2024",25,0:00:16,65.78,64.17,,,1339,5.886,2,1217,5.26
ZJQKhbEIWf4,nibba roast 😂 #shorts,"Oct 7, 2024",31,0:00:21,65.69,67.91,,,4049,23.6446,10,886,2.26
wwYOJwz2C0o,bachpan ki aadat #shorts,"Dec 11, 2024",52,0:00:23,65.57,45.52,,,841,5.4993,0,790,1.01
G5i-pSjVeHg,newspaper ki dress 😱,"Jun 10, 2024",40,0:00:21,65.56,54.72,,,2673,16.2365,8,737,1.49
dtFkyvtdmc4,saurav joshi ultimate content formula revealed 😂 #shorts #comedy,"Nov 7, 2024",26,0:00:13,65.52,51.73,,,20,0.0747,0,39,12.82
j09k9JILOcA,Fake Attitude 🤣,"Feb 13, 2026",36,0:00:27,65.5,76.73,,,4019,16.4152,22,1920,10.89
EXpjQ9UCiX8,maheep singh-2 😂 #shorts,"Jan 2, 2025",53,0:00:31,65.46,59.77,,,2129,18.6308,0,625,0.16
RDIBj-_TElw,Aloo Khaoge ? 😂,"Sep 25, 2025",39,0:00:26,65.39,68.69,,,3942,15.8014,11,5282,3.14
bd3p6o-eUGQ,Ye Kya Mil Gaya 🤣,"Dec 14, 2025",7,0:00:09,65.3,139.48,,,14540,17.6126,5,3307,3.78
D997Lle1RNI,Sejal Exx Roast,"Mar 9, 2025",30,0:00:16,65.22,53.84,,,1508,6.5769,1,2053,5.75
9ZSITR17UFc,Boy To Girl Makeup Transition 🤣,"May 9, 2026",34,0:00:29,65.17,86.92,,,276,1.1053,0,112,7.14
8MAYuW1gMI4,Chamach Trend 🤣,"Feb 19, 2026",34,0:00:24,64.97,71.77,,,1226,4.8386,22,341,18.48
nfjQaGLL48g,Bindas Kavya is Innocent 😡,"Jul 29, 2025",54,0:00:30,64.73,56.44,,,5048,25.6255,3,7860,6.36
owASCmmqDIM,Queen Sparrow 🤣,"Oct 3, 2025",34,0:00:24,64.64,72.45,,,5321,18.6195,6,9394,3.56
e1OG9XzGERg,The Delusional Country 😂,"May 17, 2025",52,0:00:22,64.63,43.8,,,3131,12.1046,4,2267,1.41
Cvc51yTWxw4,When TikTok Returns 😂,"Aug 29, 2025",38,0:00:23,64.6,62.5,,,659,2.3227,1,2388,3.81
oKJPcP1Rc08,WORLDCUP X SASTA SANDEEP MAHESHWARI ! #shorts #shortsfeed #reaction,"Nov 25, 2023",42,0:00:29,64.59,70.22,,,14504,118.1145,23,2027,5.03
5fvY-vhpEb0,Cousin Lover Hamza 😂,"May 20, 2025",57,0:00:26,64.54,45.88,,,1909,8.7769,3,1910,1.73
3-4TeWY3T58,fortuner leli 😍 #comedy #funnycringe #funny,"May 29, 2024",26,0:00:21,64.52,83.92,,,20,0.1212,0,107,0.93
XOo5PSLXGtU,roast tony kakkar #shorts,"Dec 9, 2024",34,0:00:14,64.44,43,,,2941,11.9353,1,791,0.51
fQMsgXLO1EM,Overacting ki godaam 😡,"Aug 12, 2025",55,0:00:34,64.36,61.94,,,12268,66.024,36,2673,3.74
MEPXMUIyGHY,Jarurat 😂 (Nibba Nibbi),"May 11, 2026",47,0:00:30,64.1,64.02,,,20611,92.5726,125,6876,3.93
DeZfriPAVk4,Kajal Pandey Hidden Roast,"Mar 10, 2025",29,0:00:15,63.98,52.42,,,1390,5.7426,2,1171,3.67
AG35g93F66M,Sourav Joshi 😱,"Sep 24, 2025",40,0:00:23,63.96,58.51,,,3137,11.5896,4,4940,1.17
CN7yfT_0c4w,punjabi on samay raina show 😂 #shorts,"Oct 7, 2024",15,0:00:12,63.87,85.29,,,1265,4.4836,0,1160,0.69
fLy6L1U5zbs,roast ajaz khan 😑 #shorts,"Jul 24, 2024",45,0:00:18,63.72,40.41,,,1412,7.1129,0,933,2.57
1c7aqNN3G0A,Sejal Ji Roast 😂,"May 23, 2025",60,0:00:28,63.72,48.27,,,6553,33.2757,9,1903,2.21
pJthKTyXytU,Bindas Kavya vs Devika  😱,"Jun 19, 2025",55,0:00:36,63.63,67.09,,,15843,87.4896,17,3636,5.28
IY39jWOhzuc,Princely Free Fire Roast,"Mar 10, 2025",29,0:00:19,63.61,66.16,,,2091,10.2299,4,1607,2.61
Ohc03uAlf_8,Rajputani 😱😅,"May 5, 2026",27,0:00:17,63.41,65.52,,,2890,8.4739,4,3266,2.05
nbZiS8glwe4,rajattt bhai 🔥 #shorts,"Nov 19, 2024",23,0:00:14,63.24,62.34,,,1890,7.5277,2,815,1.35
bUjOsRmnev4,Why Pawan Singh Left Rise & Fall 😲,"Sep 21, 2025",36,0:00:27,63.14,77.54,,,9912,41.0309,8,13870,4.97
463LDsC47SQ,Arvind kejriwal ghar pe aaye 😅 #funny,"Mar 23, 2024",21,0:00:22,62.96,105.47,,,17,0.1046,0,15,33.33
iYMO3y1T4Eo,Iphone Flex Gone Wrong 😂 (Android Wale King),"May 6, 2026",32,0:00:22,62.8,69.86,,,6405,22.9327,3,3734,1.34
umtRWZvXj6M,Lollypop 🤣,"Dec 19, 2025",35,0:00:26,62.75,77.04,,,68,0.2544,0,63,20.63
Pn7YHS0ZfYo,Lollipop 🤣,"Dec 19, 2025",23,0:00:15,62.5,65.48,,,10,0.0222,0,10,20
OrwNNGxlAL8,rakhi sawant vs maheep 😆 #shorts,"Jan 1, 2025",41,0:00:20,62.47,50.48,,,3786,21.6889,0,764,1.31
EPUrPlp2M_U,missed call fron samay #shorts,"Dec 10, 2024",32,0:00:15,62.45,49.72,,,484,2.1391,0,478,1.05
XWJ5kkij1YY,samay dance #shorts,"Dec 10, 2024",38,0:00:16,62.44,43.77,,,762,3.4816,1,877,0.57
hwm6kStkacs,The Conspiracy King Kuldeep Singhania Exposed😱,"Aug 26, 2025",57,0:00:29,62.03,51.86,,,2096,10.1644,3,3257,2.39
gq-FzmeJs_U,brainless bhabhi #shorts,"Dec 3, 2024",23,0:00:15,61.92,66.82,,,777,3.2867,1,1305,1.07
h1c54LuTJf8,heavy workout 😂 #shorts,"Aug 15, 2024",15,0:00:13,61.89,87.35,,,2494,9.067,2,780,3.08
E_UqGQlmySc,Over Cuteness Ki Dukaan 😂,"Sep 2, 2025",51,0:00:28,61.86,56.86,,,1532,6.9083,6,2155,3.81
5MPDgubDpEc,Tanya Mittal Roast 😂,"Sep 1, 2025",52,0:00:29,61.86,57.55,,,8457,41.4038,5,2560,5.63
lzP6eAF8iPA,Reality Of Big Billion Day Sale 🤯,"Sep 22, 2025",38,0:00:23,61.84,62.87,,,5571,21.6211,4,3706,1.3
VKilQexhOdU,Pyari Nari Khyati,"May 11, 2025",51,0:00:19,61.82,37.63,,,3494,11.8049,0,17878,4.56
bY8mZMSg6oQ,kajal sejal dark-7 #shorts,"Dec 4, 2024",21,0:00:14,61.74,67.07,,,4262,16.5631,9,2449,6.74
TOzX7GKfBaA,Girls Holi in Delhi Metro 😱 #funny #viral,"Mar 24, 2024",36,0:00:33,61.54,93.72,,,8,0.075,0,45,13.33
WjnebU9thN8,indian santa 😂 #shorts,"Dec 22, 2024",22,0:00:14,61.43,66.47,,,611,2.4607,0,1352,6.51
duwhKobIb5M,family vloger roast 😂 (part-1) #shorts,"Oct 18, 2024",45,0:00:17,61.41,38.99,,,428,2.0862,2,539,2.41
gfRqiUaOTvA,saurav joshi amma meme 😂 #funnycringe #comedy #memes,"May 17, 2024",15,0:00:11,61.35,75.01,,,3665,11.2934,5,3284,7.28
ZW1vR2VIV8A,Sparrow USA 24 Roast 💀,"Sep 27, 2025",40,0:00:28,61.29,72.33,,,5053,19.7584,9,12415,1.43
rJuyHZ0koxI,Crazy Bts Army 😂,"May 23, 2025",58,0:00:23,61.22,40.28,,,4098,16.1133,4,1683,1.07
9eLidBCoHnk,triggered inshan roast bts 😂 #shorts,"Jul 23, 2024",25,0:00:19,60.97,77.62,,,5180,27.4903,3,1943,3.86
TJ9QHjQYWWg,Mota Bhai ka kamar 😅 #shorts,"Apr 18, 2024",54,0:00:15,60.79,28.81,,,445,1.9228,0,518,2.7
U3RxpRnmWWA,latent 😂 #shorts,"Dec 17, 2024",17,0:00:13,60.71,76.68,,,482,1.7452,0,476,2.52
RMX-ts1s1es,Premanand Maharaj is Right 😡,"Aug 4, 2025",72,0:00:26,60.67,36.98,,,1469,6.4062,3,2727,1.94
qhXBPedjiwg,systumm nakli nikla 😡 #shorts,"Mar 8, 2024",13,0:00:13,60.56,101.01,,,8770,31.9368,19,927,2.59
QfAvDKY6iTw,gufa 😂 #shorts,"Jan 3, 2025",52,0:00:21,60.56,41.48,,,622,3.6649,0,622,0.16
MNwv0PPncXk,Overrated girls of instagram 😡,"May 29, 2025",58,0:00:31,60.55,54.55,,,9124,46.1639,4,2077,6.02
BPotE9a6yjo,why sejal exx 🤢 #treanding,"Nov 14, 2024",29,0:00:18,60.52,62.71,,,6710,33.87,17,1905,3.36
rMRVV1-cl-0,life of batchelor 😂,"Jul 9, 2024",9,0:00:08,60.3,97.09,,,484,1.1748,0,543,1.84
5uVusto2gSk,dark queen sejal sister roast #treanding,"Nov 16, 2024",14,0:00:11,60.28,79.66,,,4158,12.8565,4,4794,8.57
yTM6LxItKus,sejal exx😑 roast queen of dark humour #shorts,"Nov 12, 2024",27,0:00:18,60.08,67.22,,,5473,27.5743,6,3944,5.38
zj0SsmmfOnQ,Kota Students Story💀 #funny,"Mar 19, 2024",10,0:00:11,60,114.23,,,3,0.0095,0,4,75
ukLhp2RINQ4,Most Educated Girls 💀,"Jul 1, 2025",60,0:00:37,59.83,62.32,,,4091,22.1611,7,2630,7.45
_N9pdLITPj4,rajat vs ravi #comedy,"Nov 17, 2024",16,0:00:14,59.72,90.05,,,9477,37.8156,5,1561,0.83
DHJzK5RnkuU,Instagram ke chapri 😂 #funnycringe #comedy,"Jun 2, 2024",37,0:00:16,59.59,43.57,,,1352,6.0505,2,723,1.94
Qfad8Mzh7dE,the solution-2 💀 #shorts,"Dec 6, 2024",22,0:00:12,59.46,58.02,,,132,0.468,0,574,11.5
5sqpY3GrIqs,Kajal Reel Roast,"Apr 11, 2025",35,0:00:19,59.3,54.99,,,4385,13.7533,3,1552,3.99
QFobTN8JCmY,Pakistan After Losing to India 😂,"Sep 30, 2025",48,0:00:26,59.21,54.7,,,6883,26.9864,5,8874,0.65
aGRB6N5TYuY,african momos 😱 #shorts #comedy,"Oct 29, 2024",34,0:00:17,59.09,52.69,,,13,0.0647,0,54,7.41
t8MrWUi71h4,costume cutter #shorts,"Dec 10, 2024",28,0:00:17,58.9,63.27,,,6018,29.0137,1,3681,0.52
YpI3I48VXpA,Kejriwal को जेल ! #viral #funny,"Mar 23, 2024",21,0:00:17,58.79,81.58,,,833,3.964,1,760,2.63
pUjSdnloPzI,lord puneet aur sheer #shorts,"Nov 26, 2024",27,0:00:16,58.64,60.68,,,1448,6.5636,0,1088,0.83
1RHG9KNAj-o,Painful Reality Of Kota 😡,"Sep 23, 2025",32,0:00:21,58.58,65.11,,,2758,8.2207,0,3749,5.55
GdBwqZU0Em0,Day-3 Reality Of Women #30dayschallenge,"Jul 8, 2025",47,0:00:25,58.48,55.1,,,615,2.485,0,147,14.29
OTS27g3bIXw,FUN ON HINDU 😱 #shorts,"Jan 13, 2024",35,0:00:25,58.45,73.23,,,3828,27.2424,3,1034,2.8
pfk2CtxO5To,Real Ghost Caught 😱,"May 1, 2026",34,0:00:23,58.32,69.68,,,5320,19.9662,37,3015,2.42
 -nRXRIdE3Jk,boys with iPhone 😅 #shorts #funny,"Mar 9, 2024",7,0:00:08,58.2,125.6,,,1871,4.5693,2,544,2.94
FUhtHg_vQB4,cringe girl 😂 #shorts,"Oct 1, 2024",37,0:00:20,58.16,54.62,,,2088,11.7111,4,842,0.95
_XHulpjxrDE,Danish Zehen Comeback is Funny 😂 #shorts,"Sep 20, 2024",40,0:00:22,58.09,56.4,,,1097,6.8465,3,798,2.13
vUidAnnYKFg,kajal sejal dark-12 #shorts,"Dec 25, 2024",39,0:00:14,58.04,37.04,,,502,1.98,0,889,3.82
z_he6iBE0MI,RIP For Poor,"Mar 16, 2025",50,0:00:26,58,53.31,,,42,0.2276,1,808,0.87
qRpoFd6FbDM,just a filler 😂 #shorts,"Jan 2, 2025",53,0:00:24,57.9,46.09,,,1585,10.69,0,472,0.64
FYZV6pz_Ebw,shilajit ❌ redbull ✅-1 #shorts,"Dec 10, 2024",46,0:00:21,57.65,46.22,,,438,2.5866,0,476,0.63
c0ujZ7UKvJA,Bts Army 🤮,"May 27, 2025",55,0:00:26,57.38,47.47,,,2971,12.039,6,1937,0.72
mYFE6uBU108,Cringe fitness 🤮 #shorts,"Apr 16, 2024",41,0:00:17,57.25,42.1,,,438,2.1003,2,487,2.87
iGasQtQYPiQ,cute boy of india 😂,"Jun 23, 2024",27,0:00:19,57.17,73.02,,,5386,29.4821,18,857,1.75
XSn-r6dhru8,@SamayRainaOfficial 😂 #shorts,"Jan 4, 2025",23,0:00:14,56.97,63.25,,,544,2.1506,0,714,0.98
G6PGqqZQiHg,Wasim Ne Joginder Ko 🤣,"Nov 16, 2025",31,0:00:19,56.75,63.32,,,1416,4.1616,0,342,7.6
qdGEGcbsj3g,Dark Comedy Roast on Kajal Pandey 😈 | #RelatableMemes #Funny #KajalPandey #Comedy #YTShorts,"Jan 28, 2025",40,0:00:20,56.44,52.37,,,78,0.3395,0,681,3.52
UM9m7_iYb7A,dark queen sejal exx roast 😱,"Nov 15, 2024",38,0:00:18,56.28,48.3,,,1776,9.054,3,1574,8.45
e_rXvj727UA,mikha singh 😂 #shorts,"Jan 2, 2025",51,0:00:22,56.01,44.55,,,540,3.3553,0,475,0.42
OfvNdUFPnZs,Gift ke lea shadi!,"Apr 4, 2024",7,0:00:08,55.76,117.1,,,2154,4.9046,1,476,3.78
K16OY2VcNVA,Maqsad 💀#shorts #roast,"Apr 29, 2024",7,0:00:08,55.6,125.12,,,303,0.7372,1,465,2.8
FxtwYBbvpAI,Miss Dhurandhar 🤣,"Mar 20, 2026",34,0:00:26,55.55,78.3,,,15478,57.7249,327,5683,7.04
bZ3pkn2rRsc,whole day,"Jul 8, 2024",25,0:00:16,55.52,67.42,,,1741,8.1509,4,479,1.25
N8G5PtXmLPc,bachelor life 😂,"Jul 10, 2024",8,0:00:08,55.06,110.1,,,643,1.5732,1,625,1.92
i9HHMfdV28k,Instagram Ke Saste Gangster,"Mar 15, 2025",38,0:00:17,54.95,46.08,,,77,0.2834,-1,858,2.33
yqwpIhXg3V0,badmosh jaat #shorts,"Nov 29, 2024",16,0:00:09,54.86,60.73,,,542,1.463,0,748,1.47
cySaeGcN3cc,kajal sejal dark-15 #shorts,"Jan 7, 2025",40,0:00:16,54.82,41.62,,,132,0.5119,1,996,1.91
p9KyoMK5DVE,unique ravan dahan 😂 #shorts,"Oct 16, 2024",29,0:00:22,54.71,76.71,,,496,3.0648,0,652,2.45
RzM9Ho-3NNQ,kajal sejal dark-2 #shorts,"Nov 24, 2024",29,0:00:20,54.11,70.56,,,3124,17.3833,3,3647,8.77
WBVJzccRhtc,Bts Girls In India 🤗,"Jun 4, 2025",54,0:00:24,53.99,45.33,,,5136,19.1331,11,1891,2.06
5xs5BmojXPo,muskankariya  😡 #shorts  #comedy,"Jun 6, 2024",43,0:00:22,53.96,52.22,,,341,2.1271,3,361,2.22
oRYUAmFxLEY,maheep singh 😂 #shorts,"Jan 2, 2025",60,0:00:28,53.68,47.1,,,2377,18.5628,2,1094,0.82
YFlVR6fEqlM,Sejal's Sister Roast 😡,"May 31, 2025",59,0:00:27,53.64,46.35,,,1413,5.6342,0,1266,6.24
a2QEr7cBqsQ,sejal exx roast💀 part 2 #shorts,"Oct 2, 2024",36,0:00:21,53.53,60.38,,,3604,21.7059,4,1228,1.87
X0C4isqcMsM,Kajal Ji Roast 😂,"May 16, 2025",55,0:00:28,53.44,51.31,,,10294,43.1265,5,1570,2.8
XeSmWfrD92I,Really 🤔,"Jun 17, 2025",60,0:00:23,53.24,38.92,,,7738,27.1447,0,2206,1.99
la02XkgImXI,reality of chandra harsh 🤧 #shorts,"Feb 21, 2025",57,0:00:26,52.95,46.2,,,884,5.8278,0,2904,4.06
UISOFnrWpBU,The Kajal Sejal 😱,"May 28, 2025",59,0:00:18,52.69,31.83,,,879,2.4918,0,1016,2.66
n5ceexn7pX8,girls new demand 😂 #shorts,"Oct 19, 2024",45,0:00:18,52.63,40.88,,,479,2.4478,1,550,2.18
 -uUEWnRiNmM,Kajal Pandey Roast 🌚 Wait For End #shorts,"Sep 25, 2024",36,0:00:18,52.58,51.88,,,583,3.0246,0,584,10.96
3bNab5ebX9I,what happened sejal #shorts,"Nov 15, 2024",21,0:00:13,52.56,63.45,,,3600,13.2894,4,1687,3.68
Bryj9-NKloM,Iit baba prediction fail 😂 #cricket,"Feb 23, 2025",22,0:00:13,52.5,59.78,,,750,2.687,1,689,1.31
75MwikMkJd4,kaali raat 😂 #shorts,"Jan 2, 2025",26,0:00:16,52.46,64.74,,,2044,9.5169,1,540,0.56
HNt2niuIjyo,DRAMA OF NEWS MEDIA ON PARLIAMENT ATTACK  #viral,"Dec 13, 2023",27,0:00:20,52.42,75.86,,,4329,24.4952,8,1848,2.6
nkPqmihiMHY,black momos 🤮 #comedy #funny,"Oct 29, 2024",34,0:00:13,52.34,39.19,,,593,2.1948,0,713,1.54
UFOOs8Pa6i4,sendha namak ka power 😂 #funny,"Mar 17, 2024",13,0:00:12,52.26,94.91,,,5890,19.9791,8,2204,6.81
SFhrwv7kP8Q,Aarush Bhola Roast,"Mar 22, 2025",35,0:00:19,52.08,55.31,,,781,3.8846,0,2180,2.16
i804SS1HsqM,Ek Dost Aisa Bhi 🤣,"Jan 25, 2026",18,0:00:14,52.07,79.6,,,6230,12.1263,5,5485,1.09
8b0P9ha-Jjw,chaddi girl 😂 #shorts,"Dec 22, 2024",36,0:00:18,52.03,51.13,,,627,3.2061,0,521,4.99
EMf5HYqrQWM,Urfi Javed Helicopter Dress,"Mar 30, 2025",39,0:00:14,51.96,37.79,,,895,2.5621,0,1302,1
OtgTzOW8-7A,Evergreen chapri girl 🤢 #shorts,"Apr 19, 2024",33,0:00:13,51.85,41.34,,,487,1.8453,1,492,2.03
3Z9wFKdne5E,gen z baba abhinav arora 😂 #shorts #funny,"Oct 26, 2024",46,0:00:30,51.34,66.33,,,5519,46.4146,5,2580,1.4
O064c9QVv0o,Hamza Syed Roast 🔥,"May 12, 2025",64,0:00:27,51.29,43.58,,,2670,10.3574,2,8880,3.13
PsPj0R0f4Oo,lord puneet animal #shorts,"Dec 6, 2024",22,0:00:12,51.28,59.84,,,81,0.2827,1,610,7.7
TSLAZKuI3zQ,Dark chocolate boi 😱#shorts,"Apr 15, 2024",40,0:00:15,51.23,37.62,,,418,1.7473,4,420,3.1
xxZ5BS-QEvU,motivational speaker ka baap 😂 #shorts #funnycringe,"Jun 12, 2024",32,0:00:19,51.08,58.62,,,3051,16.3691,9,702,1.28
Z3HT_Lxt7n4,reality of aman baisla 😂 #shorts,"Feb 17, 2025",53,0:00:27,50.9,52.59,,,833,6.1206,0,1661,3.31
Z6KBSOf62T8,World Biggest Beggar,"Apr 26, 2025",43,0:00:21,50.62,49.74,,,2067,6.2209,3,1387,0.94
Da0pkHxXDG8,Bts army roast 😡 #shorts,"Jul 17, 2024",27,0:00:22,50.38,82.42,,,5399,26.777,9,6665,6.27
